ID	NameUA	NameEN	DescriptionUA	DescriptionEN
1	Аналіз впливу на безпеку	Security impact analysis	це процес, який організація повинна завжди проводити, щоб визначити, чи вплинули певні зміни в інформаційних системах на її стан безпеки.	
2	Аналіз загроз	Threat analysis	це стосується процесу дослідження джерел кіберзагроз та їх оцінки щодо вразливостей інформаційної системи. Метою аналізу є виявлення загроз, які загрожують певній інформаційній системі в конкретному середовищі.	
3	Анонімний проксі	Anonymizing proxy	це спосіб приховати вашу активність в Інтернеті та/або зробити її справді важкою для розголошення третіми сторонами, як-от країни, які застосовують інтернет-цензуру. Ці проксі-сервери діють як проміжне з'єднання між вашим комп'ютером і кінцевою метою. З точки зору сторонньої людини, вони отримують доступ до цих веб-сайтів і приховують IP-адресу вашого комп'ютера від подальшої ідентифікації. Зазвичай вони використовуються для вільного доступу до Інтернет-контенту під суворою цензурою.	
4	Антишкідливе програмне забезпечення	Anti-malware	це стосується ряду програм і додатків, які здатні виявляти та видаляти зловмисне програмне забезпечення з окремих систем або великих мереж. Хоча цей термін зазвичай використовується у зв'язку з класичними антивірусними продуктами, засоби захисту від зловмисного програмного забезпечення можуть включати рішення для захисту від шпигунського ПЗ, фішингу та спаму. Останнім часом цей термін поширився для назви спеціалізованого програмного забезпечення, яке бореться зі зловмисним програмним забезпеченням, що викрадає дані, створеним онлайн-злочинцями.	
5	Антиспам	Anti-spam	це спеціальні програми, які борються зі спамом, тобто небажаною електронною поштою. Проблему спаму потрібно вирішувати не лише на індивідуальному рівні кожного користувача, але й на рівні системних адміністраторів, які повинні захистити тисячі комп'ютерів від спаму. Спроби спаму стають ще більшою проблемою для всіх, оскільки це один із основних способів доставки найнебезпечніших зловмисних програм у дикій природі та додаткових загроз фішингу.	
6	Антиспуфінг	Anti-spoofing	методи боротьби зі спуфінгом використовуються, щоб зупинити атаки DDoS (розподілена відмова в обслуговуванні), які вражають багато веб-сайтів.  Для здійснення цих атак хакери «підмінюють» IP-адреси, звідки надсилають велику кількість запитів. Коли сервер веб-сайту намагається відповісти на запити, він зупиняється через очікування доступу до серверів, яких насправді не існує. У цьому випадку знову важко виявити джерело атак, тому єдиним доступним рішенням є використання програмного забезпечення, яке може виявити ці фальшиві IP-адреси та відмовити у з'єднанні.	
7	Антишпигуньске програмне забезпечення	Anti-spyware software	це технологія захисту від шпигунського програмного забезпечення використовується для виявлення та блокування спроб шпигунського програмного забезпечення. Шпигунське програмне забезпечення це тип програмного забезпечення, яке дозволяє рекламодавцям або онлайн-злочинцям виявляти особисті дані з комп'ютера без дозволу користувача. Шпигунське програмне забезпечення може заразити ваш комп'ютер, якщо ви відвідуєте певні веб-сайти за допомогою спливаючих повідомлень із проханням завантажити додаток або програму. Якщо таке програмне забезпечення потрапить на ваш комп'ютер, воно спробує відстежити вашу активність в Інтернеті та надіслати цю інформацію третім особам. Зазвичай шпигунське програмне забезпечення виявляється, коли воно починає використовувати системні ресурси, що, зрештою, впливає на загальну стабільність.	
8	Антивірусне програмне забезпечення	Antivirus software	з'явилося кілька років тому для захисту комп'ютерів від вірусів та інших загроз, які впливали на початкові сучасні комп'ютери. У наш час антивірусні програми захищають користувачів від більш складних онлайн-небезпек, таких як програми-вимагачі, руткіти, трояни, шпигунські програми, фішингові атаки або ботнети. Тим не менш назва «антивірус» збереглася за цими програмними рішеннями, які захищають комп'ютери від великої кількості загроз.	
9	Атака (онлайн)	Attack (online)	бувають різних форм і націлені як на звичайних людей, так і на великі корпорації. Зазвичай вони намагаються викрасти фінансову та комерційну інформацію, розкрити важливі дані, а іноді їх доставляють, щоб просто знищити дані або заблокувати доступ до сервера. Одна з найвідоміших онлайн-атак була застосована в 2014 році проти Sony Pictures, але з тих пір багато інших потрапили в новини.	
10	Атака грубою силою	Brute force attack	це техніка, яку використовують хакери, під час якої тестується велика кількість ключових слів або комбінацій паролів, щоб отримати доступ до сайту чи мережі. Це одна з основних причин, чому користувачі повинні встановлювати надійні паролі.	
